app_id,id,unix_time,thumbs_up,minutes_played,useful_score,text,dt,len,hours_played
730,193468339,1745488693,1,14742,0.5238095521926879,Not bad game:),2025-04-24 09:58:13+00:00,14.0,245.7
730,193467897,1745488044,1,1023,0.5,good game but WAAAAY too many russians and also if you dont have prime then cheatiers,2025-04-24 09:47:24+00:00,85.0,17.05
730,193467842,1745487930,1,5696,0.5,"Counter-Strike 2 is a thrilling evolution of the classic tactical shooter that has captivated gamers for years. The graphics have received a significant upgrade, providing a more immersive experience while maintaining the core gameplay that fans love. The new mechanics and maps add fresh strategies and challenges, keeping the gameplay dynamic and engaging. The matchmaking system feels more refined, allowing for balanced matches that enhance competitiveness. Overall, Counter-Strike 2 successfully builds on its predecessor's legacy, making it a must-play for both veterans and newcomers to the series.",2025-04-24 09:45:30+00:00,605.0,94.93333333333334
730,193467768,1745487813,1,10739,0.5238095521926879,Great game but there are too many Russians in premier,2025-04-24 09:43:33+00:00,53.0,178.98333333333332
730,193467530,1745487512,1,181,0.5,This game is both relentlessly infuriating and exceptionally fun,2025-04-24 09:38:32+00:00,64.0,3.0166666666666666
730,193467397,1745487357,1,7940,0.5,Cool Shooting game (i just want the fckng communitybadge),2025-04-24 09:35:57+00:00,57.0,132.33333333333334
730,193467214,1745487096,1,3541,0.5,if you want to die here play it,2025-04-24 09:31:36+00:00,31.0,59.016666666666666
730,193466331,1745485774,1,7954,0.5,"CS2 is a really fun and intense shooter with great graphics and gameplay. It's awesome to play with friends, but sometimes there are cheaters which can be annoying. Still, it's a great game overall.",2025-04-24 09:09:34+00:00,198.0,132.56666666666666
730,193465738,1745484992,0,4783,0.5,This game is absolute dogshit.  you get screamed at russians half the time the servers suck and on top of all of that this game is the main reason i have a gambling addiction great game definately do play,2025-04-24 08:56:32+00:00,204.0,79.71666666666667
730,193465497,1745484623,1,84993,0.5,Free russian lessons every time u do anything not exactly the way a 12 year old russian kid wants. 69/10,2025-04-24 08:50:23+00:00,104.0,1416.55
730,193465315,1745484320,1,4881,0.5,tests the hand eye coordination for some offsprings.,2025-04-24 08:45:20+00:00,52.0,81.35
730,193464990,1745483857,1,36094,0.5,great game!,2025-04-24 08:37:37+00:00,11.0,601.5666666666667
730,193463319,1745482724,1,4308,0.52173912525177,cool game lots of racist,2025-04-24 08:18:44+00:00,24.0,71.8
730,193462735,1745481680,0,26809,0.5,"GREAT GAME, RUINED BY CHEATER  SO MUCH CHEATER, VAC DOESNT MIND OUR REPORT",2025-04-24 08:01:20+00:00,74.0,446.81666666666666
730,193462602,1745481473,1,31428,0.5,good game but they should ban russians,2025-04-24 07:57:53+00:00,38.0,523.8
730,193462305,1745480954,1,6284,0.5,GREAT GAME BUT NO BETTER THAN COUNTER STRIKE,2025-04-24 07:49:14+00:00,44.0,104.73333333333333
730,193461817,1745480167,1,52537,0.5,https://steamcommunity.com/id/devvek1ng/inventory/#730_2_1022152055,2025-04-24 07:36:07+00:00,67.0,875.6166666666667
730,193461785,1745480111,1,18282,0.5238095521926879,https://steamcommunity.com/id/donkgojo/inventory/#730_2_42189484025 https://steamcommunity.com/id/23092009/inventory/#730_2_43109325506 https://steamcommunity.com/id/crash77/inventory/#730_2_19483209678,2025-04-24 07:35:11+00:00,202.0,304.7
